Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-21,6.23,6.24,6.1,6.16,366330,-0.07,0.14,-1.14,2.27,0.07,5.95,6.06,0.09,0.14,-0.05,25780322,10.58,90.0,11.67,1.0,78.33,Strong Buy Signal,6.69,5.95,5.21,0.25,53.23,Target Volume,Expected Range,13.63,Absent or Weak Trend
2023-07-20,6.26,6.3,6.14,6.2,410257,-0.06,0.16,-0.97,2.5,0.08,5.95,6.05,0.12,0.15,-0.04,26146652,11.37,91.67,13.33,1.0,78.33,Strong Buy Signal,6.69,5.95,5.21,0.25,53.54,Target Volume,Expected Range,13.68,Absent or Weak Trend
2023-07-19,6.42,6.45,6.22,6.24,482525,-0.18,0.23,-2.88,3.69,0.12,5.94,6.05,0.15,0.16,-0.02,26556909,12.69,93.33,15.0,1.0,78.33,Strong Buy Signal,6.68,5.94,5.21,0.25,53.86,Target Volume,Expected Range,13.72,Absent or Weak Trend
2023-07-18,6.5,6.57,6.43,6.44,328380,-0.06,0.14,-0.93,2.17,0.07,5.94,6.04,0.17,0.17,0.01,27039434,16.5,95.0,16.67,1.0,78.33,Strong Buy Signal,6.67,5.94,5.2,0.25,55.47,Target Volume,Expected Range,13.74,Absent or Weak Trend
2023-07-17,6.4,6.52,6.31,6.51,492263,0.11,0.22,1.69,3.3,0.11,5.93,6.03,0.19,0.16,0.03,27367814,15.9,96.67,18.33,1.0,78.33,Strong Buy Signal,6.65,5.93,5.2,0.24,56.05,Target Volume,Expected Range,13.69,Absent or Weak Trend
2023-07-14,6.79,6.79,6.35,6.37,608181,-0.42,0.44,-6.59,6.87,0.22,5.92,6.01,0.2,0.16,0.04,26875551,16.68,98.33,20.0,1.0,78.33,Strong Buy Signal,6.63,5.92,5.21,0.24,55.13,Target Volume,Expected Range,13.65,Absent or Weak Trend
2023-07-13,6.77,6.85,6.71,6.79,684221,0.02,0.14,0.29,2.06,0.07,5.92,6.0,0.22,0.15,0.07,27483732,23.52,100.0,21.67,1.0,78.33,Strong Buy Signal,6.63,5.92,5.21,0.24,58.75,Target Volume,Expected Range,13.6,Absent or Weak Trend
2023-07-12,6.8,6.83,6.69,6.76,561256,-0.04,0.14,-0.59,2.07,0.07,5.91,5.97,0.2,0.13,0.07,26799511,23.28,100.0,23.33,1.0,76.67,Strong Buy Signal,6.59,5.91,5.23,0.23,58.56,Target Volume,Expected Range,13.43,Absent or Weak Trend
2023-07-11,6.58,6.71,6.58,6.71,638740,0.13,0.13,1.94,1.94,0.06,5.9,5.95,0.18,0.11,0.07,26238255,21.78,100.0,25.0,1.0,75.0,Strong Buy Signal,6.55,5.9,5.26,0.22,58.24,Target Volume,Expected Range,13.27,Absent or Weak Trend
2023-07-10,6.58,6.66,6.54,6.55,521640,-0.03,0.12,-0.46,1.83,0.06,5.89,5.92,0.15,0.09,0.06,25599515,21.15,100.0,26.67,1.0,73.33,Strong Buy Signal,6.5,5.89,5.28,0.21,57.21,Target Volume,Expected Range,13.12,Absent or Weak Trend
2023-07-07,6.34,6.61,6.33,6.57,732717,0.23,0.28,3.5,4.26,0.14,5.88,5.9,0.14,0.08,0.06,26121155,20.52,98.33,28.33,1.0,70.0,Strong Buy Signal,6.46,5.88,5.29,0.2,57.39,Target Volume,Expected Range,12.99,Absent or Weak Trend
2023-07-06,6.54,6.64,6.27,6.32,739680,-0.22,0.37,-3.48,5.82,0.18,5.87,5.88,0.11,0.06,0.04,25388438,20.52,100.0,30.0,1.0,70.0,Strong Buy Signal,6.42,5.87,5.31,0.19,55.73,Target Volume,Expected Range,12.86,Absent or Weak Trend
2023-07-05,6.32,6.57,6.28,6.53,1013059,0.21,0.29,3.22,4.48,0.15,5.86,5.86,0.09,0.05,0.04,26128118,19.68,100.0,31.67,1.0,68.33,Weak Buy Signal,6.4,5.86,5.31,0.19,57.58,Target Volume,Expected Range,12.73,Absent or Weak Trend
2023-07-03,6.16,6.34,6.11,6.32,848917,0.16,0.23,2.53,3.64,0.11,5.84,5.84,0.06,0.04,0.02,25115059,16.75,43.33,33.33,1.0,10.0,High Volatility / Hold Signal,6.36,5.84,5.33,0.18,56.15,Target Volume,Expected Range,12.61,Absent or Weak Trend
2023-06-30,5.98,6.09,5.96,6.04,483644,0.06,0.13,0.99,2.15,0.06,5.84,5.82,0.03,0.04,-0.01,24266142,13.36,45.0,35.0,1.0,10.0,High Volatility / Hold Signal,6.34,5.84,5.33,0.17,54.12,Target Volume,Expected Range,12.54,Absent or Weak Trend
2023-06-29,5.85,5.96,5.83,5.91,550207,0.06,0.13,1.02,2.2,0.06,5.83,5.82,0.02,0.04,-0.02,23782498,11.53,46.67,36.67,1.0,10.0,High Volatility / Hold Signal,6.33,5.83,5.33,0.17,53.13,Target Volume,Expected Range,12.53,Absent or Weak Trend
2023-06-28,5.84,5.86,5.75,5.82,506464,-0.02,0.11,-0.34,1.89,0.06,5.83,5.81,0.02,0.04,-0.02,23232291,10.08,48.33,38.33,1.0,10.0,High Volatility / Hold Signal,6.33,5.83,5.33,0.17,52.43,Target Volume,Expected Range,12.54,Absent or Weak Trend
2023-06-27,5.87,5.91,5.84,5.84,382257,-0.03,0.07,-0.51,1.2,0.04,5.84,5.81,0.03,0.05,-0.02,23738755,11.7,50.0,40.0,1.0,10.0,High Volatility / Hold Signal,6.35,5.84,5.33,0.17,52.61,Target Volume,Expected Range,12.58,Absent or Weak Trend
2023-06-26,5.93,6.04,5.88,5.88,555100,-0.05,0.16,-0.85,2.72,0.08,5.84,5.81,0.05,0.05,-0.01,24121012,12.42,51.67,41.67,1.0,10.0,High Volatility / Hold Signal,6.35,5.84,5.33,0.18,52.95,Target Volume,Expected Range,12.6,Absent or Weak Trend
