Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-13,17.32,17.35,17.04,17.14,5568082,-0.18,0.31,-1.05,1.81,0.15,15.65,16.3,0.29,0.25,0.04,-28683320,0.94,1.67,51.67,-1.0,-50.0,Weak Sell Signal,17.45,15.65,13.84,0.23,50.99,Target Volume,Expected Range,7.89,Absent or Weak Trend
2023-07-12,17.2,17.37,17.03,17.07,6357986,-0.13,0.34,-0.76,1.99,0.17,15.65,16.27,0.26,0.24,0.02,-34251402,0.94,0.0,53.33,-1.0,-53.33,Weak Sell Signal,17.46,15.65,13.83,0.23,50.83,Target Volume,Expected Range,8.01,Absent or Weak Trend
2023-07-11,16.62,16.93,16.44,16.86,6419164,0.24,0.49,1.42,2.93,0.25,15.65,16.24,0.22,0.23,-0.01,-40609388,1.26,0.0,55.0,-1.0,-55.0,Weak Sell Signal,17.48,15.65,13.82,0.23,50.34,Target Volume,Expected Range,8.13,Absent or Weak Trend
2023-07-10,16.06,16.53,16.02,16.44,5471560,0.38,0.51,2.31,3.09,0.25,15.67,16.22,0.19,0.24,-0.05,-47028552,3.35,0.0,56.67,-1.0,-56.67,Weak Sell Signal,17.58,15.67,13.76,0.24,49.36,Target Volume,Expected Range,8.25,Absent or Weak Trend
2023-07-07,15.71,16.51,15.69,16.29,10183580,0.58,0.82,3.56,5.03,0.41,15.7,16.21,0.19,0.25,-0.06,-52500112,3.46,1.67,58.33,-1.0,-56.67,Weak Sell Signal,17.69,15.7,13.71,0.25,49.0,Target Volume,Expected Range,8.33,Absent or Weak Trend
2023-07-06,16.0,16.05,15.25,15.64,9132841,-0.36,0.8,-2.3,5.12,0.4,15.73,16.21,0.2,0.26,-0.06,-62683692,5.87,3.33,60.0,-1.0,-56.67,Weak Sell Signal,17.83,15.73,13.63,0.27,47.43,Target Volume,Expected Range,8.41,Absent or Weak Trend
2023-07-05,16.51,16.52,16.16,16.27,7493091,-0.24,0.35,-1.48,2.18,0.18,15.77,16.23,0.29,0.28,0.01,-53550851,1.37,5.0,61.67,-1.0,-56.67,Weak Sell Signal,17.95,15.77,13.6,0.28,48.86,Target Volume,Expected Range,8.46,Absent or Weak Trend
2023-07-03,16.85,17.05,16.69,16.72,3534077,-0.13,0.36,-0.78,2.12,0.18,15.79,16.23,0.32,0.27,0.05,-46057760,1.36,6.67,63.33,-1.0,-56.67,Weak Sell Signal,17.99,15.79,13.59,0.28,49.93,Target Volume,Expected Range,8.58,Absent or Weak Trend
2023-06-30,16.96,17.03,16.65,16.76,5686208,-0.2,0.38,-1.19,2.27,0.19,15.79,16.21,0.32,0.26,0.05,-42523683,1.28,8.33,65.0,-1.0,-56.67,Weak Sell Signal,18.0,15.79,13.58,0.28,50.02,Target Volume,Expected Range,8.7,Absent or Weak Trend
2023-06-29,16.38,16.95,16.34,16.89,7219157,0.51,0.61,3.02,3.61,0.3,15.8,16.19,0.3,0.25,0.05,-36837475,0.88,10.0,66.67,-1.0,-56.67,Weak Sell Signal,18.04,15.8,13.57,0.28,50.33,Target Volume,Expected Range,8.82,Absent or Weak Trend
2023-06-28,16.34,16.41,16.17,16.39,5427168,0.05,0.24,0.31,1.46,0.12,15.83,16.17,0.26,0.23,0.03,-44056632,1.9,11.67,68.33,-1.0,-56.67,Weak Sell Signal,18.15,15.83,13.51,0.29,49.15,Target Volume,Expected Range,8.96,Absent or Weak Trend
2023-06-27,16.22,16.66,16.02,16.54,7662215,0.32,0.64,1.93,3.87,0.32,15.86,16.16,0.26,0.23,0.03,-38629464,1.9,13.33,70.0,-1.0,-56.67,Weak Sell Signal,18.27,15.86,13.46,0.3,49.5,Target Volume,Expected Range,9.08,Absent or Weak Trend
2023-06-26,15.9,16.28,15.87,16.15,5272261,0.25,0.41,1.55,2.54,0.21,15.89,16.15,0.24,0.22,0.02,-46291679,3.88,15.0,71.67,-1.0,-56.67,Weak Sell Signal,18.35,15.89,13.42,0.31,48.57,Target Volume,Expected Range,9.2,Absent or Weak Trend
2023-06-23,15.69,16.0,15.64,15.83,5843585,0.14,0.36,0.88,2.24,0.18,15.92,16.15,0.25,0.22,0.03,-51563940,5.36,16.67,73.33,-1.0,-56.67,Weak Sell Signal,18.44,15.92,13.4,0.32,47.8,Target Volume,Expected Range,9.29,Absent or Weak Trend
2023-06-22,15.97,16.02,15.68,15.99,5403223,0.02,0.33,0.13,2.1,0.17,15.95,16.16,0.29,0.21,0.08,-45720355,5.17,18.33,75.0,-1.0,-56.67,Weak Sell Signal,18.52,15.95,13.38,0.32,48.15,Target Volume,Expected Range,9.36,Absent or Weak Trend
2023-06-21,16.16,16.4,16.05,16.09,5953343,-0.07,0.34,-0.44,2.14,0.17,15.98,16.16,0.32,0.19,0.14,-40317132,3.43,20.0,76.67,-1.0,-56.67,Weak Sell Signal,18.58,15.98,13.38,0.33,48.37,Target Volume,Expected Range,9.43,Absent or Weak Trend
2023-06-20,16.19,16.47,16.14,16.44,5516170,0.25,0.33,1.52,2.01,0.16,16.0,16.17,0.35,0.15,0.2,-34363789,3.0,21.67,78.33,-1.0,-56.67,Weak Sell Signal,18.63,16.0,13.37,0.33,49.15,Target Volume,Expected Range,9.53,Absent or Weak Trend
2023-06-16,16.68,16.76,16.36,16.47,10194243,-0.21,0.4,-1.28,2.43,0.2,16.02,16.16,0.34,0.1,0.24,-28847619,1.92,23.33,80.0,-1.0,-56.67,Weak Sell Signal,18.68,16.02,13.36,0.33,49.22,Target Volume,Expected Range,9.64,Absent or Weak Trend
2023-06-15,16.56,17.03,16.52,16.78,6073344,0.22,0.51,1.31,3.05,0.26,16.04,16.15,0.32,0.04,0.28,-18653376,1.17,25.0,81.67,-1.0,-56.67,Weak Sell Signal,18.73,16.04,13.35,0.34,49.91,Target Volume,Expected Range,9.77,Absent or Weak Trend
2023-06-14,17.06,17.23,16.43,16.72,11334407,-0.34,0.8,-2.03,4.78,0.4,16.07,16.12,0.27,-0.03,0.29,-24726720,1.17,26.67,83.33,-1.0,-56.67,Weak Sell Signal,18.82,16.07,13.32,0.34,49.77,Target Volume,Expected Range,9.92,Absent or Weak Trend
2023-06-13,16.36,16.77,16.32,16.72,9406792,0.36,0.45,2.15,2.69,0.22,16.09,16.1,0.19,-0.1,0.29,-24726720,3.42,28.33,85.0,-1.0,-56.67,Weak Sell Signal,18.87,16.09,13.3,0.35,49.77,Target Volume,Expected Range,10.07,Absent or Weak Trend
